date,payment,vendor,invoice,amount_cents
2026-07-02,130,VND21A3B8AD24,17145,800000
2026-07-02,130,VND21A3B8AD24,26800-062L,328000
2026-07-02,131,VNDE5C8CEB0EB,INVBAT2592,179700
2026-07-02,132,VND3146C81AA5,3199024,119900
2026-07-02,133,VND44D252EA0A,69232,182600
2026-07-02,134,VNDC784BA22B7,104554556,101110
2026-07-02,134,VNDC784BA22B7,104556620,63575
2026-07-02,135,VND0BE18D292A,25-4970,44136
2026-07-02,135,VND0BE18D292A,25-5032,7992
2026-07-02,135,VND0BE18D292A,25-5066,25725
2026-07-02,135,VND0BE18D292A,25-5076,20484
2026-07-02,135,VND0BE18D292A,25-5110,15500
2026-07-02,136,VND6C133B6E38,55P1836284,24657
2026-07-02,136,VND6C133B6E38,55P1836285,19975
2026-07-02,136,VND6C133B6E38,55P1836286,19975
2026-07-02,136,VND6C133B6E38,55P1836287,19974
2026-07-02,137,VNDDB8E0D5288,185584,206352
2026-07-02,141,VND514BD94314,105260,148744
2026-07-02,141,VND514BD94314,105265,280412
2026-07-02,142,VND63FC3F64CF,485997,11062
2026-07-02,143,VND51F22A8064,B21288415,32620
2026-07-02,144,VND51F22A8064,B21089798,7251856
2026-07-02,145,VND732FC446A2,883048621,11440
2026-07-02,146,VND1CDC5A7959,010105092000603 6/26,452626
2026-07-02,146,VND1CDC5A7959,010105092017901 0626,450977
2026-07-02,146,VND1CDC5A7959,010106112000204 6/26,43230
2026-07-02,146,VND1CDC5A7959,010106112002303 6/26,7322
2026-07-02,146,VND1CDC5A7959,010106112006202 6/26,4301
2026-07-02,146,VND1CDC5A7959,01016112002403 6/26,4301
2026-07-02,147,VNDA23FFF84E8,020201625000401 0626,35862
2026-07-02,147,VNDA23FFF84E8,020201625001701 0626,74226
2026-07-02,148,VNDBC06C0FC3B,17533,1902806
2026-07-02,149,VND192E49B381,19177575,153100
2026-07-02,149,VND192E49B381,19177579,117325
2026-07-02,149,VND192E49B381,19177589,540164
2026-07-02,149,VND192E49B381,19177606,614482
2026-07-02,150,VND22131354E9,CO-02767,40000
2026-07-02,151,VNDBA70BC1F5F,B16016-130,60000
2026-07-02,152,VNDC701A4067E,4981399,1250000
2026-07-02,153,VND934C96EBFB,004-35-K2,638242
2026-07-02,154,VNDE585BEA3CF,PARTIAL 7,6343079
2026-07-02,155,VND6A20575D85,702301C5-0042,49800
2026-07-02,157,VND5ECE206ED8,55616 PSA,207000
2026-07-02,157,VND5ECE206ED8,56012,1730250
2026-07-02,158,VNDAF0E6FF656,106089,27877
2026-07-02,158,VNDAF0E6FF656,106122,13263
2026-07-02,159,VND6D309C34A6,26-CR-1282916S,19320
2026-07-02,161,VNDA19A313B5F,CRIME DISTRICT 158,1668000
2026-07-02,162,VND5F7CD0BCD8,0195835,29441
2026-07-02,162,VND5F7CD0BCD8,0195866,17400
2026-07-02,162,VND5F7CD0BCD8,0195915,27375
2026-07-02,162,VND5F7CD0BCD8,0195956,30932
2026-07-02,162,VND5F7CD0BCD8,0196700,13500
2026-07-02,162,VND5F7CD0BCD8,0196733,156804
2026-07-02,162,VND5F7CD0BCD8,0198104,7055
2026-07-02,162,VND5F7CD0BCD8,0198131,78240
2026-07-02,163,VND86AF9EF14A,215085,51873
2026-07-02,164,VND66084D1F0C,434848,4000
2026-07-02,165,VND01F38E133D,2025CR00893 6-26-26,17000
2026-07-02,165,VND01F38E133D,26C-CR-157268S,17000
2026-07-02,166,VNDA3437DBD18,457,50000
2026-07-02,167,VNDD8A8343028,IN000004999,230400
2026-07-02,167,VNDD8A8343028,IN000005004,230400
2026-07-02,168,VNDEE6A050C76,33GCI9138507,182216
2026-07-02,169,VND611FCF1C13,4941391,3425800
2026-07-02,169,VND611FCF1C13,4953426,5000000
2026-07-02,169,VND611FCF1C13,4953427,2799000
2026-07-02,169,VND611FCF1C13,4985401,2551500
2026-07-02,170,VNDDA1A8E31E9,1329,1620000
2026-07-02,170,VNDDA1A8E31E9,1330,2492025
2026-07-02,171,VND7E9F39CE99,USI067489,182959
2026-07-02,172,VND777AAA6B69,1DK1-KYF1-LL71,14900
2026-07-02,173,VND7318C7CBBA,23CR090631,17943
2026-07-02,174,VND9928246519,june132026,75000
2026-07-02,175,VND03758085BE,216255200,55646
2026-07-02,175,VND03758085BE,CM46354490,-9272
2026-07-02,176,VND834CFEAF14,13440324,30000
2026-07-02,177,VND834CFEAF14,13484566,20000
2026-07-02,178,VND834CFEAF14,13483361,30000
2026-07-02,179,VND4A591C435A,2681,16565
2026-07-02,179,VND4A591C435A,2682,51124
2026-07-02,179,VND4A591C435A,2683,31698
2026-07-02,179,VND4A591C435A,2686,42485
2026-07-02,180,VNDBA2426EBDA,12-260207100,167360
2026-07-02,181,VND7534669E51,NO. 1,1343822
2026-07-02,182,VND2903DC5320,EBR-140,52025465
2026-07-02,183,VND49DD3D410C,613,30000000
2026-07-02,184,VND62BFC1788A,1008,320000
2026-07-02,185,VND6266E7A0DA,6/15-31/2026,275000
2026-07-02,186,VND0FF7E70DAB,P0647807,2522800
2026-07-02,186,VND0FF7E70DAB,P0649807,22890
2026-07-02,187,VND5D2F7D94EE,535537,100910
2026-07-02,187,VND5D2F7D94EE,538540,31849
2026-07-02,188,VNDE0E8F276FE,2,280000
2026-07-02,189,VNDC1343BF557,0000358,65000
2026-07-02,190,VND1A8DED51EE,060126-063026lease,70000
2026-07-02,191,VND12A126BAB3,RHOWARD77409,1393325
2026-07-02,192,VNDBE816E2FB0,2,280000
2026-07-02,193,VNDA9F41FCD70,2,280000
2026-07-02,194,VND91721D3854,077582549162,5940
2026-07-02,194,VND91721D3854,503681836869,1284
2026-07-02,194,VND91721D3854,681817733233,7004372
2026-07-02,194,VND91721D3854,745430505040,17897
2026-07-02,194,VND91721D3854,816526080041,120997
2026-07-02,194,VND91721D3854,922951763288,2172
2026-07-02,194,VND91721D3854,983387034820,1284
2026-07-02,195,VND4887200A1C,2388-2348,68750
2026-07-02,196,VNDF5B7EE4D2C,000460,150000
2026-07-02,197,VND14E811ADAB,2,280000
2026-07-02,198,VND2FE55F69EA,2,280000
2026-07-02,199,VNDF1CFE61FB2,2,280000
2026-07-02,200,VNDA727627B86,2,280000
2026-07-02,201,VNDAABC37C256,260601,200000
2026-07-02,201,VNDAABC37C256,260602,200000
2026-07-02,202,VNDA906180111,2,280000
2026-07-02,203,VND8513D80C68,2026 Summit,150000
2026-07-02,204,VND998B3898F2,PARCEL 4-1C2/A01,5320000
2026-07-02,205,VND3C48C486F8,1129,10043
2026-07-02,207,VNDAC63C945ED,Karen NH 6/27 elect,5372
2026-07-02,278,VND08C636DE10,2026 CD AMAC ANNUAL,236278
2026-07-02,279,VND08C636DE10,2026 MB AMAC ANNUAL,181541
2026-07-02,280,VND08C636DE10,0530pk06232026,50000
2026-07-02,4532,VNDE960709B38,CR2607025148,2628
2026-07-02,4533,VNDE960709B38,CR2607025149,3044
2026-07-02,4534,VNDE960709B38,CR2607025150,2788
2026-07-02,4535,VNDE960709B38,CR2607025151,2756
2026-07-02,4536,VNDE960709B38,CR2607025152,2820
2026-07-02,4537,VNDE960709B38,CR2607025153,2916
2026-07-02,4538,VNDE960709B38,CR2607025154,2948
2026-07-02,4539,VNDE960709B38,CR2607025155,2980
2026-07-02,4540,VNDE960709B38,CR2607025156,2916
2026-07-02,6062,VND5673704393,QUAD070226,2000000
2026-07-02,6818,VND6419D861E2,13486615492,29366
2026-07-02,6819,VNDDF1B535115,15619,832541
2026-07-02,6820,VND96E81D06D8,33-70813-PL-005,915174
2026-07-02,6821,VND78FD06F489,4474,2094
2026-07-02,6821,VND78FD06F489,5500,26634
2026-07-02,6822,VNDEDD33AC203,0088322-IN,56000
2026-07-02,6823,VNDB6D062A110,835-577,15000
2026-07-02,6823,VNDB6D062A110,PR PPE 06.26.26,3415942
2026-07-02,6824,VNDA9434CCE70,Pay App 031 - PS 98,3630783
2026-07-02,6825,VNDCCCD2B28B4,13-2026,127870
2026-07-02,6826,VND57128946A4,EBRPCR070126,812500
2026-07-02,6827,VNDBF2D3FB7FF,1116,17680443
2026-07-02,6828,VND85F7D6CB6F,06-2026,1355400
2026-07-02,6829,VNDFE8318EED5,28723,169000
2026-07-02,6829,VNDFE8318EED5,29255,169000
2026-07-02,6829,VNDFE8318EED5,29776,169000
2026-07-02,6829,VNDFE8318EED5,30298,380000
2026-07-02,6829,VNDFE8318EED5,30351,380000
2026-07-02,6829,VNDFE8318EED5,30357,300000
2026-07-02,6829,VNDFE8318EED5,30358,402000
2026-07-02,6829,VNDFE8318EED5,30359,645000
2026-07-02,6829,VNDFE8318EED5,30360,290500
2026-07-02,6829,VNDFE8318EED5,30361,169000
2026-07-02,6829,VNDFE8318EED5,30362,280000
2026-07-02,6829,VNDFE8318EED5,30365,110000
2026-07-02,6829,VNDFE8318EED5,30845,380000
2026-07-02,6829,VNDFE8318EED5,30879,31800
2026-07-02,6829,VNDFE8318EED5,30881,62430
2026-07-02,6829,VNDFE8318EED5,31014,402000
2026-07-02,6829,VNDFE8318EED5,31015,471000
2026-07-02,6829,VNDFE8318EED5,31016,264000
2026-07-02,6829,VNDFE8318EED5,31017,169000
2026-07-02,6829,VNDFE8318EED5,31018,224000
2026-07-02,6829,VNDFE8318EED5,31021,110000
2026-07-02,6829,VNDFE8318EED5,31603,240000
2026-07-02,6829,VNDFE8318EED5,31607,169000
2026-07-02,6829,VNDFE8318EED5,31608,224000
2026-07-02,6829,VNDFE8318EED5,31609,240900
2026-07-02,6829,VNDFE8318EED5,31610,329232
2026-07-02,6831,VND22A30FB481,26-JUN,2528627
2026-07-02,6832,VND5AB7B02F1F,1197188,11366510
2026-07-02,6833,VND74F6F208CC,INV18099,441000
2026-07-02,6835,VND444B5F3D5E,2606306,1025000
2026-07-02,6836,VND7FCD0BC551,2724.82,272482
2026-07-02,6837,VND3397F001DF,3452661,1778000
2026-07-02,6838,VNDB9768F8269,EBRJD-5/26,192300
2026-07-02,6839,VNDE0354C4DB5,07012026LC,400000
2026-07-02,6840,VND71A3D0737C,0070126,2698450
2026-07-02,81,VNDD4A7038084,587119,23246
2026-07-02,82,VNDC6B8B30FA0,3200,127000
2026-07-02,83,VND1D7ED300B3,153663,109338
2026-07-02,84,VND37530FC813,141951,152075
2026-07-02,84,VND37530FC813,142007,166430
2026-07-02,85,VNDF460B5EC7F,15979-M,350000
2026-07-02,86,VNDFA0267DB49,15696,46900
2026-07-02,86,VNDFA0267DB49,15701,28000
2026-07-02,87,VNDC238B44546,71977,380000
2026-07-02,88,VND35B1EB0D4E,SB355768,7741
2026-07-02,88,VND35B1EB0D4E,SB355776,84428
2026-07-02,88,VND35B1EB0D4E,SB357263,7741
2026-07-02,88,VND35B1EB0D4E,SB359574,84428
2026-07-02,89,VND314B84DB92,IN248606,29400
2026-07-02,89,VND314B84DB92,IN255352,22956
2026-07-02,91,VND0E9273449A,4273305515,38426
2026-07-02,93,VND314D47574B,10021296334,7499678
2026-07-02,93,VND314D47574B,2026504552,4997016
2026-07-02,93,VND314D47574B,2026504571,1301864
2026-07-02,93,VND314D47574B,340004844007,1621117
2026-07-02,94,VND56CB734DA4,27638,12967
2026-07-02,96,VNDC0620CDD61,00089276,57500
2026-07-02,99,VND93ACEED8D3,INV78573,21440
2026-07-02,99,VND93ACEED8D3,INV78574,21440
2026-07-08,281,VND1D7F5E06ED,W749469,81136
2026-07-08,281,VND1D7F5E06ED,W755337,3088
2026-07-08,282,VNDBA5885C4A6,57598,14424
2026-07-08,283,VNDAD371834F3,404050,86400
2026-07-08,283,VNDAD371834F3,404061,21420
2026-07-08,283,VNDAD371834F3,404094,18695
2026-07-08,283,VNDAD371834F3,404116,36200
2026-07-08,283,VNDAD371834F3,404618,20700
2026-07-08,283,VNDAD371834F3,404772,44800
2026-07-08,283,VNDAD371834F3,404811,20400
2026-07-08,284,VND608BF9B3D8,169824,39120
2026-07-08,284,VND608BF9B3D8,172398,50160
2026-07-08,284,VND608BF9B3D8,177586,48642
2026-07-08,284,VND608BF9B3D8,177651,121906
2026-07-08,284,VND608BF9B3D8,178214,40576
2026-07-08,284,VND608BF9B3D8,178655,24000
2026-07-08,284,VND608BF9B3D8,179530,47124
2026-07-08,284,VND608BF9B3D8,180233,25728
2026-07-08,284,VND608BF9B3D8,181725,51216
2026-07-08,284,VND608BF9B3D8,182133,72666
2026-07-08,284,VND608BF9B3D8,182134,83820
2026-07-08,285,VND65E111ABA4,4/14/2026,84000
2026-07-08,286,VND9C87086CEA,10030769,27000
2026-07-08,287,VNDFA0267DB49,15765,25800
2026-07-08,288,VND2AA75DBF85,14347,146090
2026-07-08,289,VND194891F3F9,01499573,6225
2026-07-08,292,VND314B84DB92,IN255355,7968
2026-07-08,293,VND314B84DB92,IN255354,7902
2026-07-08,294,VND314B84DB92,IN255357,8306
2026-07-08,295,VND314B84DB92,IN255356,8238
2026-07-08,296,VND314B84DB92,IN255358,8170
2026-07-08,297,VND314B84DB92,IN256037,13837
2026-07-08,298,VND314B84DB92,IN256036,64869
2026-07-08,299,VND314B84DB92,IN256038,44080
2026-07-08,300,VND314B84DB92,IN256039,4089
2026-07-08,301,VNDCB8E65DC7C,413767,445000
2026-07-08,303,VND0E9273449A,4272909126,38840
2026-07-08,303,VND0E9273449A,4273117281,1805
2026-07-08,303,VND0E9273449A,4273502940,7550
2026-07-08,303,VND0E9273449A,4273502945,379
2026-07-08,303,VND0E9273449A,4273923891,1805
2026-07-08,303,VND0E9273449A,5324772504,3911
2026-07-08,303,VND0E9273449A,5342233305,3540
2026-07-08,303,VND0E9273449A,5342233306,27784
2026-07-08,304,VND0E9273449A,4272330016,22673
2026-07-08,304,VND0E9273449A,4272744601,7770
2026-07-08,304,VND0E9273449A,4273070792,22673
2026-07-08,304,VND0E9273449A,4273935514,15861
2026-07-08,304,VND0E9273449A,5341547609,1891
2026-07-08,305,VND1F4B20B584,PI74749,39402
2026-07-08,305,VND1F4B20B584,PI74850,258713
2026-07-08,305,VND1F4B20B584,PI74966,94662
2026-07-08,305,VND1F4B20B584,PI74968,63510
2026-07-08,305,VND1F4B20B584,PI75096,9903
2026-07-08,305,VND1F4B20B584,PI75157,65633
2026-07-08,306,VNDD82F48C9E0,483305,2246
2026-07-08,307,VND2FE679EDE1,9172912382,8550
2026-07-08,309,VND0972D9C76D,95481,19296
2026-07-08,310,VND06A13AF7B0,Pay APP 8722 May 26,7399104
2026-07-08,311,VND314D47574B,2026505721,23585987
2026-07-08,312,VND91034DB47E,684353,15800
2026-07-08,314,VND162E4C3E25,914381-1,1722
2026-07-08,316,VND65DE8A4375,S18798,130240
2026-07-08,317,VNDB24DE3A5F3,57284685,2010994
2026-07-08,317,VNDB24DE3A5F3,58376945,107600
2026-07-08,320,VNDC85484D068,0456-1262449,238800
2026-07-08,320,VNDC85484D068,0456-1263160,39152
2026-07-08,321,VND0A6EE72845,58380,73000
2026-07-08,322,VND74416F155F,96248,40000
2026-07-08,323,VND0F82AF1081,6065939244,5213
2026-07-08,323,VND0F82AF1081,6066008958,1619
2026-07-08,323,VND0F82AF1081,6066008959,157553
2026-07-08,323,VND0F82AF1081,6066066127,10140
2026-07-08,323,VND0F82AF1081,6066072881,2199
2026-07-08,323,VND0F82AF1081,6066217718,1184
2026-07-08,323,VND0F82AF1081,6066217829,8290
2026-07-08,323,VND0F82AF1081,6066389354,4716
2026-07-08,323,VND0F82AF1081,6066811871,39932
2026-07-08,324,VND0F82AF1081,6066466505,27160
2026-07-08,325,VND0F82AF1081,6066466506,849
2026-07-08,326,VND1727FBD37B,00809,75000
2026-07-08,327,VNDF3CA855638,4277-078-01,59932622
2026-07-08,327,VNDF3CA855638,4277-084-01,63977346
2026-07-08,328,VND0D186B42D7,192544,49500
2026-07-08,328,VND0D186B42D7,355159915,55000
2026-07-08,328,VND0D186B42D7,355312023,68750
2026-07-08,329,VND4C0671F855,487518,53936
2026-07-08,329,VND4C0671F855,487592,92064
2026-07-08,330,VND94A89D9280,25477693,36600
2026-07-08,331,VND6BAF66BC6D,708686,499900
2026-07-08,332,VNDAD36288E2C,1282147,6600
2026-07-08,332,VNDAD36288E2C,1283675,6600
2026-07-08,333,VND5DBF3F1B0F,0000173-2801-8,90284445
2026-07-08,334,VNDF2DC1DF84E,INV306801,45850
2026-07-08,335,VND478C6C900C,3RD QUARTER 2026,11191750
2026-07-08,337,VND8AA7C5834A,9941346315,175125
2026-07-08,337,VND8AA7C5834A,9948341038,144054
2026-07-08,337,VND8AA7C5834A,9948621827,40866
2026-07-08,338,VND3202C9608E,0820-002240056,2284460
2026-07-08,340,VND13E76BDE84,529-81632285,54950
2026-07-08,341,VND23360FB697,MAY2026,1017779
2026-07-08,342,VNDFEB45412C5,2026-00000005,772498
2026-07-08,343,VNDFEB45412C5,2026-00000006,758819
2026-07-08,345,VND8D4B19B51C,50848 - 7/2026,57500
2026-07-08,346,VNDB41C7DE31B,0015711071490801-626,25133
2026-07-08,346,VNDB41C7DE31B,0015711084392301 626,23407
2026-07-08,346,VNDB41C7DE31B,0015711094565601 526,15850
2026-07-08,346,VNDB41C7DE31B,0015711099343101 626,74012
2026-07-08,346,VNDB41C7DE31B,0015713071300101 626,35721
2026-07-08,346,VNDB41C7DE31B,0015713093574501 626,23066
2026-07-08,347,VNDB08E066BB4,16261,5000
2026-07-08,347,VNDB08E066BB4,16291,2500
2026-07-08,348,VNDAFBF165FD6,S12516,27000
2026-07-08,349,VNDCE2D91D09C,1800258553,2837667
