Bank Ref,Debit,Credit,Value Date,Description,Counterparty
UTR_NOISE_65,,1951.08,2026-08-16,Miscellaneous deposit 65,Corp 51
UTR_NOISE_66,,447.16,2026-08-15,Miscellaneous deposit 66,Corp 60
UTR_NOISE_67,,7034.71,2026-08-16,Miscellaneous deposit 67,Corp 51
UTR_NOISE_68,,2506.10,2026-08-14,Miscellaneous deposit 68,Corp 10
UTR_NOISE_69,,1013.16,2026-08-16,Miscellaneous deposit 69,Corp 37
UTR_NOISE_70,,1808.72,2026-08-15,Miscellaneous deposit 70,Corp 57
UTR_NOISE_71,,6696.79,2026-08-15,Miscellaneous deposit 71,Corp 33
UTR_NOISE_72,,7344.15,2026-08-16,Miscellaneous deposit 72,Corp 20
UTR_NOISE_73,,4186.88,2026-08-17,Miscellaneous deposit 73,Corp 3
UTR_NOISE_74,,447.46,2026-08-14,Miscellaneous deposit 74,Corp 21
UTR_NOISE_75,,4807.96,2026-08-16,Miscellaneous deposit 75,Corp 30
UTR_NOISE_76,,2730.99,2026-08-15,Miscellaneous deposit 76,Corp 42
UTR_NOISE_77,,5270.08,2026-08-14,Miscellaneous deposit 77,Corp 75
UTR_NOISE_78,,1676.36,2026-08-16,Miscellaneous deposit 78,Corp 40
UTR_NOISE_79,,6293.01,2026-08-14,Miscellaneous deposit 79,Corp 41
UTR_NOISE_80,,11720.44,2026-08-13,Miscellaneous deposit 80,Corp 36
UTR_NOISE_81,,4123.82,2026-08-14,Miscellaneous deposit 81,Corp 8
UTR_NOISE_82,,6571.03,2026-08-13,Miscellaneous deposit 82,Corp 22
UTR_NOISE_83,,1213.01,2026-08-14,Miscellaneous deposit 83,Corp 85
UTR_NOISE_84,,1984.10,2026-08-17,Miscellaneous deposit 84,Corp 58
UTR_NOISE_85,,378.86,2026-08-13,Miscellaneous deposit 85,Corp 22
UTR_NOISE_86,,970.85,2026-08-15,Miscellaneous deposit 86,Corp 37
UTR_NOISE_87,,5839.62,2026-08-16,Miscellaneous deposit 87,Corp 81
UTR_NOISE_88,,4875.95,2026-08-14,Miscellaneous deposit 88,Corp 45
UTR_NOISE_89,,3348.37,2026-08-15,Miscellaneous deposit 89,Corp 17
UTR_NOISE_90,,614.01,2026-08-17,Miscellaneous deposit 90,Corp 18
UTR_NOISE_91,,1203.13,2026-08-13,Miscellaneous deposit 91,Corp 84
UTR_NOISE_92,,1364.88,2026-08-14,Miscellaneous deposit 92,Corp 29
UTR_NOISE_93,,8604.31,2026-08-17,Miscellaneous deposit 93,Corp 33
UTR_NOISE_94,,130.90,2026-08-14,Miscellaneous deposit 94,Corp 31
UTR_NOISE_95,,1648.03,2026-08-17,Miscellaneous deposit 95,Corp 99
UTR_NOISE_96,,6087.34,2026-08-14,Miscellaneous deposit 96,Corp 76
UTR_NOISE_97,,8022.43,2026-08-14,Miscellaneous deposit 97,Corp 86
UTR_NOISE_98,,1604.92,2026-08-15,Miscellaneous deposit 98,Corp 75
UTR_NOISE_99,,142.33,2026-08-17,Miscellaneous deposit 99,Corp 93
UTR_NOISE_100,,24787.55,2026-08-13,Miscellaneous deposit 100,Corp 1
UTR_NOISE_101,,705.51,2026-08-13,Miscellaneous deposit 101,Corp 37
UTR_NOISE_102,,3616.65,2026-08-17,Miscellaneous deposit 102,Corp 32
UTR_NOISE_103,,1629.53,2026-08-14,Miscellaneous deposit 103,Corp 100
UTR_NOISE_104,,607.51,2026-08-13,Miscellaneous deposit 104,Corp 93
UTR_NOISE_105,,32605.70,2026-08-14,Miscellaneous deposit 105,Corp 63
UTR_NOISE_106,,1612.04,2026-08-15,Miscellaneous deposit 106,Corp 99
UTR_NOISE_107,,13227.88,2026-08-16,Miscellaneous deposit 107,Corp 85
UTR_NOISE_108,,36757.29,2026-08-16,Miscellaneous deposit 108,Corp 56
UTR_NOISE_109,,405.67,2026-08-17,Miscellaneous deposit 109,Corp 17
UTR_NOISE_110,,1777.48,2026-08-17,Miscellaneous deposit 110,Corp 84
UTR_NOISE_111,,240337.83,2026-08-14,Miscellaneous deposit 111,Corp 54
UTR_NOISE_112,,3609.28,2026-08-14,Miscellaneous deposit 112,Corp 3
UTR_NOISE_113,,9779.14,2026-08-15,Miscellaneous deposit 113,Corp 38
UTR_NOISE_114,,1799.03,2026-08-15,Miscellaneous deposit 114,Corp 59
UTR_NOISE_115,,7182.36,2026-08-15,Miscellaneous deposit 115,Corp 59
UTR_NOISE_116,,9080.04,2026-08-17,Miscellaneous deposit 116,Corp 2
UTR_NOISE_117,,3196.36,2026-08-14,Miscellaneous deposit 117,Corp 96
UTR_NOISE_118,,1424.47,2026-08-17,Miscellaneous deposit 118,Corp 71
UTR_NOISE_119,,3666.05,2026-08-16,Miscellaneous deposit 119,Corp 50
UTR_NOISE_120,,5702.39,2026-08-16,Miscellaneous deposit 120,Corp 50
UTR_NOISE_121,,8257.80,2026-08-16,Miscellaneous deposit 121,Corp 58
UTR_NOISE_122,,593.58,2026-08-16,Miscellaneous deposit 122,Corp 56
UTR_NOISE_123,,4531.02,2026-08-15,Miscellaneous deposit 123,Corp 86
UTR_NOISE_124,,269.11,2026-08-17,Miscellaneous deposit 124,Corp 38
UTR_NOISE_125,,1521.00,2026-08-14,Miscellaneous deposit 125,Corp 73
UTR_NOISE_126,,921.18,2026-08-14,Miscellaneous deposit 126,Corp 24
UTR_NOISE_127,,9142.66,2026-08-14,Miscellaneous deposit 127,Corp 67
UTR_NOISE_128,,1216.83,2026-08-15,Miscellaneous deposit 128,Corp 65
UTR_NOISE_129,,1376.15,2026-08-14,Miscellaneous deposit 129,Corp 73
UTR_NOISE_130,,42412.98,2026-08-14,Miscellaneous deposit 130,Corp 92
UTR_NOISE_131,,1237.14,2026-08-16,Miscellaneous deposit 131,Corp 46
UTR_NOISE_132,,1914.90,2026-08-15,Miscellaneous deposit 132,Corp 43
UTR_NOISE_133,,1612.96,2026-08-16,Miscellaneous deposit 133,Corp 16
UTR_NOISE_134,,888.22,2026-08-16,Miscellaneous deposit 134,Corp 94
UTR_NOISE_135,,9465.97,2026-08-15,Miscellaneous deposit 135,Corp 32
UTR_NOISE_136,,200.66,2026-08-13,Miscellaneous deposit 136,Corp 41
UTR_NOISE_137,,1658.38,2026-08-16,Miscellaneous deposit 137,Corp 97
UTR_NOISE_138,,40778.19,2026-08-16,Miscellaneous deposit 138,Corp 38
UTR_NOISE_139,,837.12,2026-08-17,Miscellaneous deposit 139,Corp 55
UTR_NOISE_140,,1903.99,2026-08-15,Miscellaneous deposit 140,Corp 91
UTR_NOISE_141,,604.39,2026-08-17,Miscellaneous deposit 141,Corp 23
UTR_NOISE_142,,602.46,2026-08-14,Miscellaneous deposit 142,Corp 96
UTR_NOISE_143,,1763.99,2026-08-15,Miscellaneous deposit 143,Corp 74
UTR_NOISE_144,,242.16,2026-08-16,Miscellaneous deposit 144,Corp 11
UTR_NOISE_145,,1335.05,2026-08-15,Miscellaneous deposit 145,Corp 20
UTR_NOISE_146,,7612.18,2026-08-16,Miscellaneous deposit 146,Corp 100
UTR_NOISE_147,,3239.51,2026-08-13,Miscellaneous deposit 147,Corp 66
UTR_NOISE_148,,1988.45,2026-08-14,Miscellaneous deposit 148,Corp 26
UTR_NOISE_149,,4039.22,2026-08-16,Miscellaneous deposit 149,Corp 99
UTR_NOISE_150,,1503.36,2026-08-15,Miscellaneous deposit 150,Corp 7
UTR_NOISE_151,,1251.96,2026-08-14,Miscellaneous deposit 151,Corp 57
UTR_NOISE_152,,13690.86,2026-08-15,Miscellaneous deposit 152,Corp 91
UTR_NOISE_153,,3059.55,2026-08-13,Miscellaneous deposit 153,Corp 4
UTR_NOISE_154,,977.41,2026-08-16,Miscellaneous deposit 154,Corp 83
UTR_NOISE_155,,1935.47,2026-08-15,Miscellaneous deposit 155,Corp 39
UTR_NOISE_156,,29216.35,2026-08-16,Miscellaneous deposit 156,Corp 53
UTR_NOISE_157,,1673.82,2026-08-14,Miscellaneous deposit 157,Corp 3
UTR_NOISE_158,,985.40,2026-08-15,Miscellaneous deposit 158,Corp 83
UTR_NOISE_159,,6164.69,2026-08-17,Miscellaneous deposit 159,Corp 69
UTR_NOISE_160,,9487.33,2026-08-13,Miscellaneous deposit 160,Corp 44
UTR_NOISE_161,,5994.24,2026-08-14,Miscellaneous deposit 161,Corp 19
UTR_NOISE_162,,4127.94,2026-08-13,Miscellaneous deposit 162,Corp 97
UTR_NOISE_163,,224043.91,2026-08-17,Miscellaneous deposit 163,Corp 68
UTR_NOISE_164,,1133.89,2026-08-13,Miscellaneous deposit 164,Corp 73
UTR_NOISE_165,,8528.02,2026-08-15,Miscellaneous deposit 165,Corp 92
UTR_NOISE_166,,8948.89,2026-08-16,Miscellaneous deposit 166,Corp 27
UTR_NOISE_167,,875.50,2026-08-16,Miscellaneous deposit 167,Corp 48
UTR_NOISE_168,,9161.77,2026-08-14,Miscellaneous deposit 168,Corp 65
UTR_NOISE_169,,726.37,2026-08-16,Miscellaneous deposit 169,Corp 69
UTR_NOISE_170,,3650.49,2026-08-15,Miscellaneous deposit 170,Corp 2
UTR_NOISE_171,,249.63,2026-08-14,Miscellaneous deposit 171,Corp 24
UTR_NOISE_172,,852.96,2026-08-13,Miscellaneous deposit 172,Corp 15
UTR_NOISE_173,,294.62,2026-08-13,Miscellaneous deposit 173,Corp 70
UTR_NOISE_174,,4185.79,2026-08-15,Miscellaneous deposit 174,Corp 38
UTR_NOISE_175,,1201.00,2026-08-13,Miscellaneous deposit 175,Corp 88
UTR_NOISE_176,,4312.96,2026-08-17,Miscellaneous deposit 176,Corp 43
UTR_NOISE_177,,3279.48,2026-08-17,Miscellaneous deposit 177,Corp 10
UTR_NOISE_178,,113876.33,2026-08-16,Miscellaneous deposit 178,Corp 27
UTR_NOISE_179,,8790.73,2026-08-16,Miscellaneous deposit 179,Corp 66
UTR_NOISE_180,,507.28,2026-08-14,Miscellaneous deposit 180,Corp 20
UTR_NOISE_181,,883.02,2026-08-16,Miscellaneous deposit 181,Corp 58
UTR_NOISE_182,,789.42,2026-08-14,Miscellaneous deposit 182,Corp 3
UTR_NOISE_183,,6770.58,2026-08-13,Miscellaneous deposit 183,Corp 90
UTR_NOISE_184,,254.51,2026-08-13,Miscellaneous deposit 184,Corp 17
UTR_NOISE_185,,8021.57,2026-08-17,Miscellaneous deposit 185,Corp 5
UTR_NOISE_186,,6627.63,2026-08-15,Miscellaneous deposit 186,Corp 48
UTR_NOISE_187,,6758.77,2026-08-14,Miscellaneous deposit 187,Corp 25
UTR_NOISE_188,,1115.57,2026-08-16,Miscellaneous deposit 188,Corp 59
UTR_NOISE_189,,9242.53,2026-08-13,Miscellaneous deposit 189,Corp 93
UTR_NOISE_190,,1421.96,2026-08-13,Miscellaneous deposit 190,Corp 86
UTR_NOISE_191,,1837.30,2026-08-15,Miscellaneous deposit 191,Corp 71
UTR_NOISE_192,,238820.92,2026-08-13,Miscellaneous deposit 192,Corp 85
UTR_NOISE_193,,8326.10,2026-08-17,Miscellaneous deposit 193,Corp 57
UTR_NOISE_194,,878.53,2026-08-17,Miscellaneous deposit 194,Corp 50
UTR_NOISE_195,,868.02,2026-08-14,Miscellaneous deposit 195,Corp 69
UTR_NOISE_196,,628.92,2026-08-14,Miscellaneous deposit 196,Corp 46
UTR_NOISE_197,,4393.66,2026-08-15,Miscellaneous deposit 197,Corp 24
UTR_NOISE_198,,785.53,2026-08-17,Miscellaneous deposit 198,Corp 36
UTR_NOISE_199,,415.98,2026-08-13,Miscellaneous deposit 199,Corp 7
UTR_NOISE_200,,248.33,2026-08-16,Miscellaneous deposit 200,Corp 40
UTR_NOISE_201,,1490.51,2026-08-16,Miscellaneous deposit 201,Corp 8
UTR_NOISE_202,,1488.41,2026-08-15,Miscellaneous deposit 202,Corp 28
UTR_NOISE_203,,769.56,2026-08-14,Miscellaneous deposit 203,Corp 99
UTR_NOISE_204,,6549.13,2026-08-14,Miscellaneous deposit 204,Corp 21
UTR_NOISE_205,,23489.17,2026-08-15,Miscellaneous deposit 205,Corp 60
UTR_NOISE_206,,6532.06,2026-08-13,Miscellaneous deposit 206,Corp 25
UTR_NOISE_207,,1458.33,2026-08-17,Miscellaneous deposit 207,Corp 30
UTR_NOISE_208,,39250.25,2026-08-14,Miscellaneous deposit 208,Corp 8
UTR_NOISE_209,,1819.72,2026-08-13,Miscellaneous deposit 209,Corp 10
UTR_NOISE_210,,227.15,2026-08-17,Miscellaneous deposit 210,Corp 39
UTR_NOISE_211,,19943.94,2026-08-14,Miscellaneous deposit 211,Corp 4
UTR_NOISE_212,,1884.29,2026-08-16,Miscellaneous deposit 212,Corp 10
UTR_NOISE_213,,4525.60,2026-08-14,Miscellaneous deposit 213,Corp 65
UTR_NOISE_214,,1821.87,2026-08-13,Miscellaneous deposit 214,Corp 19
UTR_NOISE_215,,1753.27,2026-08-16,Miscellaneous deposit 215,Corp 12
UTR_NOISE_216,,1844.98,2026-08-17,Miscellaneous deposit 216,Corp 60
UTR_NOISE_217,,1825.17,2026-08-13,Miscellaneous deposit 217,Corp 47
UTR_NOISE_218,,4179.42,2026-08-13,Miscellaneous deposit 218,Corp 47
UTR_NOISE_219,,1554.12,2026-08-14,Miscellaneous deposit 219,Corp 43
UTR_NOISE_220,,32994.42,2026-08-14,Miscellaneous deposit 220,Corp 37
UTR_NOISE_221,,1343.87,2026-08-17,Miscellaneous deposit 221,Corp 10
UTR_NOISE_222,,1798.41,2026-08-15,Miscellaneous deposit 222,Corp 32
UTR_NOISE_223,,8647.42,2026-08-17,Miscellaneous deposit 223,Corp 39
UTR_NOISE_224,,390.59,2026-08-13,Miscellaneous deposit 224,Corp 70
UTR_NOISE_225,,4513.73,2026-08-13,Miscellaneous deposit 225,Corp 67
UTR_NOISE_226,,671.30,2026-08-15,Miscellaneous deposit 226,Corp 90
UTR_NOISE_227,,4191.51,2026-08-14,Miscellaneous deposit 227,Corp 49
UTR_NOISE_228,,934.28,2026-08-16,Miscellaneous deposit 228,Corp 65
UTR_NOISE_229,,25423.03,2026-08-14,Miscellaneous deposit 229,Corp 16
UTR_NOISE_230,,7922.11,2026-08-15,Miscellaneous deposit 230,Corp 29
UTR_NOISE_231,,3916.64,2026-08-17,Miscellaneous deposit 231,Corp 97
UTR_NOISE_232,,1315.01,2026-08-15,Miscellaneous deposit 232,Corp 15
UTR_NOISE_233,,20845.38,2026-08-14,Miscellaneous deposit 233,Corp 60
UTR_NOISE_234,,295.92,2026-08-14,Miscellaneous deposit 234,Corp 60
UTR_NOISE_235,,306.60,2026-08-17,Miscellaneous deposit 235,Corp 98
UTR_NOISE_236,,20264.54,2026-08-16,Miscellaneous deposit 236,Corp 32
UTR_NOISE_237,,7547.29,2026-08-16,Miscellaneous deposit 237,Corp 36
UTR_NOISE_238,,7310.25,2026-08-17,Miscellaneous deposit 238,Corp 39
UTR_NOISE_239,,2238.22,2026-08-13,Miscellaneous deposit 239,Corp 80
UTR_NOISE_240,,785.25,2026-08-13,Miscellaneous deposit 240,Corp 9
UTR_NOISE_241,,49228.08,2026-08-14,Miscellaneous deposit 241,Corp 88
UTR_NOISE_242,,100105.63,2026-08-16,Miscellaneous deposit 242,Corp 3
UTR_NOISE_243,,182.18,2026-08-16,Miscellaneous deposit 243,Corp 96
UTR_NOISE_244,,1450.30,2026-08-14,Miscellaneous deposit 244,Corp 31
UTR_NOISE_245,,26926.37,2026-08-13,Miscellaneous deposit 245,Corp 71
UTR_NOISE_246,,716.89,2026-08-17,Miscellaneous deposit 246,Corp 62
UTR_NOISE_247,,1919.39,2026-08-17,Miscellaneous deposit 247,Corp 29
UTR_NOISE_248,,258.17,2026-08-17,Miscellaneous deposit 248,Corp 23
UTR_NOISE_249,,7235.43,2026-08-16,Miscellaneous deposit 249,Corp 12
UTR_NOISE_250,,903.38,2026-08-13,Miscellaneous deposit 250,Corp 38
UTR_NOISE_251,,6479.42,2026-08-14,Miscellaneous deposit 251,Corp 25
UTR_NOISE_252,,6035.38,2026-08-13,Miscellaneous deposit 252,Corp 39
UTR_NOISE_253,,3455.68,2026-08-13,Miscellaneous deposit 253,Corp 35
UTR_NOISE_254,,4338.35,2026-08-15,Miscellaneous deposit 254,Corp 81
UTR_NOISE_255,,1759.79,2026-08-16,Miscellaneous deposit 255,Corp 46
UTR_NOISE_256,,1099.88,2026-08-15,Miscellaneous deposit 256,Corp 89
UTR_NOISE_257,,6917.01,2026-08-16,Miscellaneous deposit 257,Corp 22
UTR_NOISE_258,,1777.29,2026-08-16,Miscellaneous deposit 258,Corp 82
UTR_NOISE_259,,556.05,2026-08-16,Miscellaneous deposit 259,Corp 50
UTR_NOISE_260,,4834.43,2026-08-15,Miscellaneous deposit 260,Corp 67
UTR_NOISE_261,,16373.35,2026-08-13,Miscellaneous deposit 261,Corp 1
UTR_NOISE_262,,4252.84,2026-08-13,Miscellaneous deposit 262,Corp 99
UTR_NOISE_263,,35540.25,2026-08-16,Miscellaneous deposit 263,Corp 1
UTR_NOISE_264,,576.63,2026-08-13,Miscellaneous deposit 264,Corp 61
UTR_NOISE_265,,536.64,2026-08-13,Miscellaneous deposit 265,Corp 12
UTR_NOISE_266,,6391.58,2026-08-14,Miscellaneous deposit 266,Corp 19
UTR_NOISE_267,,150.72,2026-08-17,Miscellaneous deposit 267,Corp 20
UTR_NOISE_268,,188.25,2026-08-15,Miscellaneous deposit 268,Corp 53
UTR_NOISE_269,,1201.46,2026-08-15,Miscellaneous deposit 269,Corp 1
UTR_NOISE_270,,1992.47,2026-08-15,Miscellaneous deposit 270,Corp 23
UTR_NOISE_271,,859.81,2026-08-16,Miscellaneous deposit 271,Corp 20
UTR_NOISE_272,,3230.26,2026-08-13,Miscellaneous deposit 272,Corp 2
UTR_NOISE_273,,1375.90,2026-08-13,Miscellaneous deposit 273,Corp 7
UTR_NOISE_274,,148984.76,2026-08-14,Miscellaneous deposit 274,Corp 67
UTR_NOISE_275,,121.85,2026-08-17,Miscellaneous deposit 275,Corp 66
UTR_NOISE_276,,1281.16,2026-08-13,Miscellaneous deposit 276,Corp 17
UTR_NOISE_277,,6770.61,2026-08-13,Miscellaneous deposit 277,Corp 42
UTR_NOISE_278,,377.20,2026-08-15,Miscellaneous deposit 278,Corp 57
UTR_NOISE_279,,14294.50,2026-08-13,Miscellaneous deposit 279,Corp 98
UTR_NOISE_280,,312.14,2026-08-17,Miscellaneous deposit 280,Corp 85
UTR_NOISE_281,,1854.04,2026-08-16,Miscellaneous deposit 281,Corp 53
UTR_NOISE_282,,1318.55,2026-08-17,Miscellaneous deposit 282,Corp 83
UTR_NOISE_283,,454.10,2026-08-14,Miscellaneous deposit 283,Corp 18
UTR_NOISE_284,,8238.72,2026-08-16,Miscellaneous deposit 284,Corp 80
UTR_NOISE_285,,143637.35,2026-08-17,Miscellaneous deposit 285,Corp 63
UTR_NOISE_286,,22606.94,2026-08-17,Miscellaneous deposit 286,Corp 60
UTR_NOISE_287,,7713.35,2026-08-16,Miscellaneous deposit 287,Corp 52
UTR_NOISE_288,,1553.42,2026-08-17,Miscellaneous deposit 288,Corp 63
UTR_NOISE_289,,154916.68,2026-08-13,Miscellaneous deposit 289,Corp 39
UTR_NOISE_290,,223.16,2026-08-17,Miscellaneous deposit 290,Corp 67
UTR_NOISE_291,,1586.21,2026-08-15,Miscellaneous deposit 291,Corp 91
UTR_NOISE_292,,1586.03,2026-08-15,Miscellaneous deposit 292,Corp 40
UTR_NOISE_293,,1767.03,2026-08-16,Miscellaneous deposit 293,Corp 1
UTR_NOISE_294,,36518.26,2026-08-15,Miscellaneous deposit 294,Corp 3
UTR_NOISE_295,,46514.06,2026-08-15,Miscellaneous deposit 295,Corp 31
UTR_NOISE_296,,4761.26,2026-08-16,Miscellaneous deposit 296,Corp 10
UTR_NOISE_297,,2976.09,2026-08-16,Miscellaneous deposit 297,Corp 91
UTR_NOISE_298,,1997.52,2026-08-16,Miscellaneous deposit 298,Corp 30
UTR_NOISE_299,,724.56,2026-08-15,Miscellaneous deposit 299,Corp 34
UTR_NOISE_300,,2761.79,2026-08-14,Miscellaneous deposit 300,Corp 27
UTR_NOISE_301,,2218.54,2026-08-14,Miscellaneous deposit 301,Corp 3
UTR_NOISE_302,,7870.12,2026-08-17,Miscellaneous deposit 302,Corp 17
UTR_NOISE_303,,1911.18,2026-08-15,Miscellaneous deposit 303,Corp 37
UTR_NOISE_304,,2597.87,2026-08-14,Miscellaneous deposit 304,Corp 13
UTR_NOISE_305,,434.40,2026-08-17,Miscellaneous deposit 305,Corp 84
UTR_NOISE_306,,13006.19,2026-08-16,Miscellaneous deposit 306,Corp 26
UTR_NOISE_307,,207084.21,2026-08-14,Miscellaneous deposit 307,Corp 90
UTR_NOISE_308,,42462.75,2026-08-17,Miscellaneous deposit 308,Corp 61
UTR_NOISE_309,,6499.34,2026-08-13,Miscellaneous deposit 309,Corp 51
UTR_NOISE_310,,1335.71,2026-08-15,Miscellaneous deposit 310,Corp 98
UTR_NOISE_311,,5369.15,2026-08-16,Miscellaneous deposit 311,Corp 83
UTR_NOISE_312,,181.71,2026-08-15,Miscellaneous deposit 312,Corp 90
UTR_NOISE_313,,4462.57,2026-08-17,Miscellaneous deposit 313,Corp 39
UTR_NOISE_314,,299.13,2026-08-14,Miscellaneous deposit 314,Corp 76
UTR_NOISE_315,,1632.08,2026-08-16,Miscellaneous deposit 315,Corp 27
UTR_NOISE_316,,1880.36,2026-08-16,Miscellaneous deposit 316,Corp 92
UTR_NOISE_317,,1006.35,2026-08-13,Miscellaneous deposit 317,Corp 90
UTR_NOISE_318,,80342.31,2026-08-14,Miscellaneous deposit 318,Corp 73
UTR_NOISE_319,,41501.11,2026-08-15,Miscellaneous deposit 319,Corp 81
UTR_NOISE_320,,1253.64,2026-08-14,Miscellaneous deposit 320,Corp 42
UTR_NOISE_321,,4702.10,2026-08-17,Miscellaneous deposit 321,Corp 21
UTR_NOISE_322,,277.48,2026-08-14,Miscellaneous deposit 322,Corp 66
UTR_NOISE_323,,36375.52,2026-08-16,Miscellaneous deposit 323,Corp 67
UTR_NOISE_324,,5979.56,2026-08-15,Miscellaneous deposit 324,Corp 27
