Entity ID,Type,Debit,Credit,Amount,Currency,Fee,Tax,On Hold,Settled,Created At,Settled At,Settlement ID,Settlement UTR,Order ID,Order Receipt,Method
pay_S3001168490,payment,0.00,2854.10,2860.00,INR,5.90,0.90,False,True,09/09/2026 10:17:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1024,rcpt_1024,netbanking
pay_S3002844714,payment,0.00,648.33,664.00,INR,15.67,2.39,False,True,09/09/2026 10:34:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1025,rcpt_1025,wallet
pay_S3003129206,payment,0.00,5808.60,5949.00,INR,140.40,21.42,False,True,09/09/2026 10:51:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1026,rcpt_1026,card
pay_S3004956383,payment,0.00,2933.00,2933.00,INR,0.00,0.00,False,True,09/09/2026 11:08:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1027,rcpt_1027,upi
pay_S3005219167,payment,0.00,5821.30,5962.00,INR,140.70,21.46,False,True,09/09/2026 11:25:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1028,rcpt_1028,card
pay_S3006641453,payment,0.00,9600.00,9600.00,INR,0.00,0.00,False,True,09/09/2026 11:42:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1029,rcpt_1029,upi
pay_S3007069388,payment,0.00,11054.00,11054.00,INR,0.00,0.00,False,True,09/09/2026 11:59:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1030,rcpt_1030,upi
pay_S3008646919,payment,0.00,9302.10,9308.00,INR,5.90,0.90,False,True,09/09/2026 12:16:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1031,rcpt_1031,netbanking
pay_S3009252676,payment,0.00,9675.15,9909.00,INR,233.85,35.67,False,True,09/09/2026 12:33:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1032,rcpt_1032,wallet
pay_S3010157405,payment,0.00,3157.68,3234.00,INR,76.32,11.64,False,True,09/09/2026 12:50:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1033,rcpt_1033,card
pay_S3011203359,payment,0.00,8866.00,8866.00,INR,0.00,0.00,False,True,09/09/2026 13:07:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1034,rcpt_1034,upi
pay_S3012517562,payment,0.00,5343.84,5473.00,INR,129.16,19.70,False,True,09/09/2026 13:24:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1035,rcpt_1035,card
pay_S3013775167,payment,0.00,6541.00,6541.00,INR,0.00,0.00,False,True,09/09/2026 13:41:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1036,rcpt_1036,upi
rfnd_S336877663,refund,616.00,0.00,616.00,INR,0.00,0.00,False,True,09/09/2026 15:00:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1023,,upi
pay_S4000771831,payment,0.00,955.10,961.00,INR,5.90,0.90,False,True,10/09/2026 10:00:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1037,rcpt_1037,netbanking
pay_S4001414622,payment,0.00,5306.73,5435.00,INR,128.27,19.57,False,True,10/09/2026 10:17:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1038,rcpt_1038,wallet
pay_S4002059649,payment,0.00,11107.53,11376.00,INR,268.47,40.95,False,True,10/09/2026 10:34:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1039,rcpt_1039,card
pay_S4003580671,payment,0.00,2394.00,2394.00,INR,0.00,0.00,False,True,10/09/2026 10:51:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1040,rcpt_1040,upi
pay_S4004819717,payment,0.00,893.41,915.00,INR,21.59,3.29,False,True,10/09/2026 11:08:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1041,rcpt_1041,card
pay_S4005105538,payment,0.00,3963.00,3963.00,INR,0.00,0.00,False,True,10/09/2026 11:25:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1042,rcpt_1042,upi
pay_S4006712997,payment,0.00,3774.00,3774.00,INR,0.00,0.00,False,True,10/09/2026 11:42:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1043,rcpt_1043,upi
pay_S4007055975,payment,0.00,6473.10,6479.00,INR,5.90,0.90,False,True,10/09/2026 11:59:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1044,rcpt_1044,netbanking
pay_S4008982506,payment,0.00,3316.83,3397.00,INR,80.17,12.23,False,True,10/09/2026 12:16:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1045,rcpt_1045,wallet
pay_S4009620809,payment,0.00,7686.22,7872.00,INR,185.78,28.34,False,True,10/09/2026 12:33:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1046,rcpt_1046,card
pay_S4010698772,payment,0.00,4249.00,4249.00,INR,0.00,0.00,False,True,10/09/2026 12:50:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1047,rcpt_1047,upi
pay_S4011808135,payment,0.00,10392.80,10644.00,INR,251.20,38.32,False,True,10/09/2026 13:07:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1048,rcpt_1048,card
pay_S4012290650,payment,0.00,9873.00,9873.00,INR,0.00,0.00,False,True,10/09/2026 13:24:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1049,rcpt_1049,upi
pay_S4013686667,payment,0.00,9518.00,9518.00,INR,0.00,0.00,False,True,10/09/2026 13:41:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1050,rcpt_1050,upi
pay_S4014501415,payment,0.00,7602.10,7608.00,INR,5.90,0.90,False,True,10/09/2026 13:58:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1051,rcpt_1051,netbanking
pay_S4015136155,payment,0.00,6799.65,6964.00,INR,164.35,25.07,False,True,10/09/2026 14:15:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1052,rcpt_1052,wallet
rfnd_S420977674,refund,810.00,0.00,810.00,INR,0.00,0.00,False,True,10/09/2026 15:00:00,12/09/2026 11:00:00,setl_SAMPLE000004,UTIB0000SMPL0004,order_S1037,,netbanking
pay_S5000127828,payment,0.00,5436.60,5568.00,INR,131.40,20.04,False,True,11/09/2026 10:00:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1053,rcpt_1053,wallet
pay_S5001565399,payment,0.00,10153.58,10399.00,INR,245.42,37.44,False,True,11/09/2026 10:17:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1054,rcpt_1054,card
pay_S5002869312,payment,0.00,5398.00,5398.00,INR,0.00,0.00,False,True,11/09/2026 10:34:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1055,rcpt_1055,upi
pay_S5003252698,payment,0.00,1358.17,1391.00,INR,32.83,5.01,False,True,11/09/2026 10:51:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1056,rcpt_1056,card
pay_S5004455416,payment,0.00,3495.00,3495.00,INR,0.00,0.00,False,True,11/09/2026 11:08:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1057,rcpt_1057,upi
pay_S5005143246,payment,0.00,11094.00,11094.00,INR,0.00,0.00,False,True,11/09/2026 11:25:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1058,rcpt_1058,upi
pay_S5006167110,payment,0.00,2138.10,2144.00,INR,5.90,0.90,False,True,11/09/2026 11:42:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1059,rcpt_1059,netbanking
pay_S5007251210,payment,0.00,4158.49,4259.00,INR,100.51,15.33,False,True,11/09/2026 11:59:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1060,rcpt_1060,wallet
pay_S5008978143,payment,0.00,7319.09,7496.00,INR,176.91,26.99,False,True,11/09/2026 12:16:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1061,rcpt_1061,card
pay_S5009299193,payment,0.00,11524.00,11524.00,INR,0.00,0.00,False,True,11/09/2026 12:33:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1062,rcpt_1062,upi
pay_S5010587767,payment,0.00,5859.38,6001.00,INR,141.62,21.60,False,True,11/09/2026 12:50:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1063,rcpt_1063,card
pay_S5011828368,payment,0.00,8681.00,8681.00,INR,0.00,0.00,False,True,11/09/2026 13:07:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1064,rcpt_1064,upi
pay_S5012144399,payment,0.00,10365.00,10365.00,INR,0.00,0.00,False,True,11/09/2026 13:24:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1065,rcpt_1065,upi
pay_S5013000280,payment,0.00,5434.10,5440.00,INR,5.90,0.90,False,True,11/09/2026 13:41:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1066,rcpt_1066,netbanking
pay_S5014590395,payment,0.00,2262.32,2317.00,INR,54.68,8.34,False,True,11/09/2026 13:58:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1067,rcpt_1067,wallet
pay_S5015837138,payment,0.00,9367.58,9594.00,INR,226.42,34.54,False,True,11/09/2026 14:15:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1068,rcpt_1068,card
pay_S5016818589,payment,0.00,1093.00,1093.00,INR,0.00,0.00,False,True,11/09/2026 14:32:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1069,rcpt_1069,upi
pay_S5017317025,payment,0.00,10512.90,10767.00,INR,254.10,38.76,False,True,11/09/2026 14:49:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1070,rcpt_1070,card
rfnd_S534533261,refund,848.00,0.00,848.00,INR,0.00,0.00,False,True,11/09/2026 15:00:00,13/09/2026 11:00:00,setl_SAMPLE000005,UTIB0000SMPL0005,order_S1053,,wallet
pay_HOLD00416026,payment,0.00,543.85,557.00,INR,13.15,2.01,True,False,12/09/2026 15:00:00,,,,order_S1071,rcpt_1071,card
pay_HOLD01854062,payment,0.00,1247.84,1278.00,INR,30.16,4.60,True,False,12/09/2026 15:00:00,,,,order_S1072,rcpt_1072,card
